description	product	group	number	n
B12 binding domain	Aryl polyene	Free-living	4	22
B12 binding domain	RiPP	Free-living	3	22
B12 binding domain	Hybrid cluster	Free-living	5	22
B12 binding domain	Ladderane	Free-living	1	22
B12 binding domain	Lactone	Free-living	2	22
Glycosyl transferase	Other cluster*	Free-living	2	20
Glycosyl transferase	NRPS	Free-living	1	20
Glycosyl transferase	Hybrid cluster	Free-living	8	20
ATPase	Hybrid cluster	Free-living	1	20
ATPase	Terpene	Free-living	3	20
ATPase	NRPS	Free-living	5	20
Glycosyl transferase	RiPP	Free-living	6	20
ATPase	Ladderane	Free-living	3	20
ATPase	Lactone	Free-living	5	20
Glycosyl transferase	Phosphonate	Free-living	1	20
Glycosyl transferase	Polyketide	Free-living	1	20
ATPase	Polyketide	Free-living	2	20
ATPase	Other cluster*	Free-living	1	20
Glycosyl transferase	Aryl polyene	Free-living	1	20
His Kinase A (phospho-acceptor) domain	Hybrid cluster	Free-living	2	18
PqqD-like domain	RiPP	Free-living	15	18
His Kinase A (phospho-acceptor) domain	Terpene	Free-living	3	18
His Kinase A (phospho-acceptor) domain	Ladderane	Free-living	3	18
His Kinase A (phospho-acceptor) domain	NRPS	Free-living	4	18
His Kinase A (phospho-acceptor) domain	Lactone	Free-living	4	18
PqqD-like domain	Hybrid cluster	Free-living	2	18
His Kinase A (phospho-acceptor) domain	Polyketide	Free-living	2	18
PqqD-like domain	Other cluster*	Free-living	1	18
Methyltransferase domain	Hybrid cluster	Free-living	6	17
Methyltransferase domain	RiPP	Free-living	3	17
Methyltransferase domain	Terpene	Free-living	1	17
Methyltransferase domain	Phosphonate	Free-living	3	17
Methyltransferase domain	Polyketide	Free-living	1	17
Methyltransferase domain	Aryl polyene	Free-living	1	17
Methyltransferase domain	Other cluster*	Free-living	2	17
Iron-sulfur cluster-binding domain	RiPP	Free-living	13	16
Iron-sulfur cluster-binding domain	Hybrid cluster	Free-living	2	16
Iron-sulfur cluster-binding domain	NRPS	Free-living	1	16
Acyl transferase domain	Hybrid cluster	Free-living	3	10
Acyl transferase domain	Polyketide	Free-living	5	10
Acyl transferase domain	Ladderane	Free-living	2	10
FAD/FMN binding domain	RiPP	Free-living	1	8
Putative metal-binding motif	Hybrid cluster	Free-living	4	8
Putative metal-binding motif	Polyketide	Free-living	4	8
FAD/FMN binding domain	Lactone	Free-living	3	8
FAD/FMN binding domain	NRPS	Free-living	2	8
FAD/FMN binding domain	Terpene	Free-living	1	8
FAD/FMN binding domain	Hybrid cluster	Free-living	1	8
FAD/FMN-dependent oxidoreductase	Aryl polyene	Free-living	3	6
FAD/FMN-dependent oxidoreductase	Terpene	Free-living	2	6
FAD/FMN-dependent oxidoreductase	Other cluster*	Free-living	1	6
